"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","30.94","9.15e-8","2.48e-8","-2.14","-","155.55","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","38.34","1.07e-7","2.79e-8","-2.14","-","155.38","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","19.67","7.87e-8","2.59e-8","-2.14","-","153.11","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","39.25","1.26e-7","3.12e-8","-2.14","-","149.24","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","15.77","7.28e-8","2.86e-8","-2.14","-","144.35","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","22.45","8.24e-8","3.03e-8","-2.14","-","138.82","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","12.71","4.76e-8","2.36e-8","-2.14","-","132.91","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","27.65","9.28e-8","2.83e-8","-2.14","-","126.79","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","26.91","8.99e-8","2.60e-8","-2.14","-","120.55","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","18.71","8.14e-8","2.57e-8","-2.14","-","114.27","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","6.44","4.41e-8","2.34e-8","-2.14","-","108.00","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","36.73","1.17e-7","3.05e-8","-2.14","-","101.81","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","9.86","6.06e-8","2.79e-8","-2.14","-","95.73","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","6.48","5.79e-8","3.10e-8","-2.14","-","89.84","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","8.36","5.73e-8","2.70e-8","-2.14","-","84.18","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","54.24","1.55e-7","3.20e-8","-2.14","-","78.83","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","4.98","4.59e-8","2.83e-8","-2.14","-","73.85","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","19.06","7.29e-8","2.53e-8","-2.14","-","69.29","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","21.93","7.31e-8","2.48e-8","-2.14","-","65.21","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","4.37","3.50e-8","2.20e-8","-2.14","-","61.63","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","3.25","< 8.08e-8","-","-","-","58.53","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","47.02","1.84e-7","3.90e-8","-2.14","-","55.90","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","20.98","9.66e-8","3.07e-8","-2.14","-","53.68","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","44.4","1.37e-7","3.10e-8","-2.14","-","51.82","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","39.54","1.30e-7","2.90e-8","-2.14","-","50.25","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","59.71","1.76e-7","3.30e-8","-2.14","-","48.94","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","21.92","8.03e-8","2.88e-8","-2.14","-","47.89","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","39.22","1.54e-7","3.70e-8","-2.14","-","47.13","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","14.53","8.79e-8","3.51e-8","-2.14","-","46.70","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","83.11","2.12e-7","3.70e-8","-2.14","-","46.69","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","47.77","1.60e-7","3.50e-8","-2.14","-","47.15","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","0.06","< 7.26e-8","-","-","-","48.18","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","6.83","4.41e-8","2.19e-8","-2.14","-","49.83","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","19.39","7.77e-8","2.81e-8","-2.14","-","52.12","1e-8","0","bin34.log"
"Apr 03 2009","2454924.999988426","260452801","30.37","1.13e-7","3.08e-8","-2.14","-","55.06","1e-8","0","bin35.log"
"Apr 10 2009","2454931.999988426","261057601","193.82","4.02e-7","5.10e-8","-2.14","-","58.62","1e-8","0","bin36.log"
"Apr 17 2009","2454938.999988426","261662401","102.1","2.57e-7","4.30e-8","-2.14","-","62.78","1e-8","0","bin37.log"
"Apr 24 2009","2454945.999988426","262267201","12.93","7.00e-8","2.72e-8","-2.14","-","67.47","1e-8","0","bin38.log"
"May 01 2009","2454952.999988426","262872001","5.8","4.39e-8","2.29e-8","-2.14","-","72.65","1e-8","0","bin39.log"
"May 08 2009","2454959.999988426","263476801","7.42","3.68e-8","2.04e-8","-2.14","-","78.27","1e-8","0","bin40.log"
"May 15 2009","2454966.999988426","264081601","5.69","3.45e-8","1.91e-8","-2.14","-","84.25","1e-8","0","bin41.log"
"May 22 2009","2454973.999988426","264686401","22.62","8.57e-8","2.78e-8","-2.14","-","90.54","1e-8","0","bin42.log"
"May 29 2009","2454980.999988426","265291201","2.1","< 6.79e-8","-","-","-","97.09","1e-8","0","bin43.log"
"Jun 05 2009","2454987.999988426","265896001","9.64","7.79e-8","3.41e-8","-2.14","-","103.83","1e-8","0","bin44.log"
"Jun 12 2009","2454994.999988426","266500801","131.72","3.03e-7","4.50e-8","-2.14","-","110.69","1e-8","0","bin45.log"
"Jun 19 2009","2455001.999988426","267105601","58.14","1.70e-7","3.40e-8","-2.14","-","117.59","1e-8","0","bin46.log"
"Jun 26 2009","2455008.999988426","267710401","122.16","2.38e-7","3.70e-8","-2.14","-","124.46","1e-8","0","bin47.log"
"Jul 03 2009","2455015.999988426","268315201","38.17","1.05e-7","2.72e-8","-2.14","-","131.19","1e-8","0","bin48.log"
"Jul 10 2009","2455022.999988426","268920001","34.6","1.05e-7","2.95e-8","-2.14","-","137.64","1e-8","0","bin49.log"
"Jul 17 2009","2455029.999988426","269524801","38.47","1.22e-7","3.08e-8","-2.14","-","143.63","1e-8","0","bin50.log"
"Jul 24 2009","2455036.999988426","270129601","9.79","6.05e-8","2.91e-8","-2.14","-","148.88","1e-8","0","bin51.log"
"Jul 31 2009","2455043.999988426","270734401","9.44","7.17e-8","3.03e-8","-2.14","-","152.97","1e-8","0","bin52.log"
"Aug 07 2009","2455050.999988426","271339201","15.92","8.09e-8","2.89e-8","-2.14","-","155.35","1e-8","0","bin53.log"
"Aug 14 2009","2455057.999988426","271944001","14.92","6.88e-8","2.60e-8","-2.14","-","155.57","1e-8","0","bin54.log"
"Aug 21 2009","2455064.999988426","272548801","0.11","< 5.09e-8","-","-","-","153.64","1e-8","0","bin55.log"
"Aug 28 2009","2455071.999988426","273153601","13.4","6.16e-8","2.45e-8","-2.14","-","150.02","1e-8","0","bin56.log"
"Sep 04 2009","2455078.999988426","273758401","45.81","1.33e-7","3.20e-8","-2.14","-","145.27","1e-8","0","bin57.log"
"Sep 11 2009","2455085.999988426","274363201","61.27","1.70e-7","3.40e-8","-2.14","-","139.83","1e-8","0","bin58.log"
"Sep 18 2009","2455092.999988426","274968001","51.33","1.51e-7","3.50e-8","-2.14","-","133.98","1e-8","0","bin59.log"
"Sep 25 2009","2455099.999988426","275572801","20.79","1.14e-7","3.45e-8","-2.14","-","127.89","1e-8","0","bin60.log"
"Oct 02 2009","2455106.999988426","276177601","49.4","1.45e-7","3.20e-8","-2.14","-","121.66","1e-8","0","bin61.log"
"Oct 09 2009","2455113.999988426","276782401","88.11","1.85e-7","3.50e-8","-2.14","-","115.38","1e-8","0","bin62.log"
"Oct 16 2009","2455120.999988426","277387201","38.7","1.32e-7","3.34e-8","-2.14","-","109.11","1e-8","0","bin63.log"
"Oct 23 2009","2455127.999988426","277992001","117.84","2.39e-7","3.80e-8","-2.14","-","102.90","1e-8","0","bin64.log"
"Oct 30 2009","2455134.999988426","278596801","78.05","1.96e-7","3.80e-8","-2.14","-","96.80","1e-8","0","bin65.log"
"Nov 06 2009","2455141.999988426","279201601","61.12","1.35e-7","3.00e-8","-2.14","-","90.87","1e-8","0","bin66.log"
"Nov 13 2009","2455148.999988426","279806401","94.37","2.40e-7","4.00e-8","-2.14","-","85.16","1e-8","0","bin67.log"
"Nov 20 2009","2455155.999988426","280411201","73.02","1.81e-7","3.60e-8","-2.14","-","79.75","1e-8","0","bin68.log"
